FONT                                                                   ;ISBOLD;ISITALIC;ONLINE;;ONPAGE;ORDER;PUBLICATION       ;SIZE;TEXT
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;19.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;,
PDType0Font/PDCIDFontType2, PostScript name: KNLORU+GentiumBasic-Italic;false ;true    ;20.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Kraftakt
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;21.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;,
PDTrueTypeFont IKMCPY+GentiumBasic-Italic                              ;false ;true    ;22.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Schwimmen
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;23.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;und
PDTrueTypeFont IKMCPY+GentiumBasic-Italic                              ;false ;true    ;24.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Tanzen
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;25.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;sind für 3 Stunden um +1 erleichtert. Eine erneute Anwendung am selben oder Folgetag bewirkt die Umkehr in einen Malus –1 auf die genannten Talentproben.
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;26.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Zutaten
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;27.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Atmon, optional Fett oder Öl
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;28.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Typische Hilfsmittel
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;29.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Kessel
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;30.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Verarbeitungsschwierigkeit
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;31.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;+/–0
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;32.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Blasrohr
PDTrueTypeFont IKMCPY+GentiumBasic-Italic                              ;false ;true    ;33.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;34.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Aus den Halmen des Schlinggrases lassen sich innerhalb von 5 Minuten Blasrohre herstellen, indem sie um einen geraden Gegenstand gewickelt und an einer Wärmequelle ausgehärtet werden.
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;35.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Zutaten
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;36.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Schlinggras
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;37.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Typische Hilfsmittel
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;38.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Messer, Feuer oder andereWärmequelle
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;39.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Verarbeitungsschwierigkeit
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;40.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;+/–0
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;41.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Blauschirmsporen
PDTrueTypeFont IKMCPY+GentiumBasic-Italic                              ;false ;true    ;42.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;43.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Die unter extremer Kälte oder Hitze gereinigten weißen Sporen des Blauschirmpilzes können genutzt werden, um einen neuen Pilz
PDType0Font/PDCIDFontType2, PostScript name: PSYSJK+GentiumBasic       ;false ;false   ;44.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;zu pflanzen, ein kleines Gebiet dämonisch
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;45.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;verseuchter Erde zu reinigen (etwa 2 x 2 Schritt) oder eine geringe Menge dämonischer Essenz zu verbannen, z. B. die Essenz, die mit dem Zauber INVOCATIO MI-NIMA beschworen wurde.
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;46.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Zutaten
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;47.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Blauschirmpilz
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;48.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Typische Hilfsmittel
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;49.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;keine
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;50.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Verarbeitungsschwierigkeit
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;51.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;+/–0HeilungNützlichGiftWehrhaftPhysische WirkungÜbernatürlichPsychische Wirkung
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;52.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1200;Ungewohnter Einsatz von Kampftechniken
PDTrueTypeFont IKMCPY+GentiumBasic-Italic                              ;false ;true    ;53.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Optionale Regel
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;54.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;900 ;Die Waffen der neuen Kampftechniken sind in ihrer Handhabung so exotisch, dass Helden üblicherweise größere Schwierigkeiten beim Gebrauch haben. Deshalb gelten bei neuen Kampftechniken Erschwernisse von bis zu –3 auf Attacke, Parade und Fernkampf. Diese Erschwernisse sollten sich im Laufe der Zeit abbauen, das letzte Wort darüber hat der Meister. Durch den Einsatz dieser Optionalregel wird das Spiel etwas komplexer.
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;55.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Blasrohr
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;56.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;900 ;NameKampftechnikTPLZ
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;57.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;800 ;RW
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;58.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;900 ;MunitionstypGewichtLängePreis
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;59.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Blasrohr
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;60.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Blasrohre1W22 Aktionen5/20/40Blasrohrpfeile0,5 Stn60 HF40 S
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;61.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;900 ;Anmerkung
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;62.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;900 ;Ein vergifteter Blasrohrpfeil sorgt bei 1+ SP für eine Vergiftung beim Opfer.
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;63.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Kampftechnik Blasrohre
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;64.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Wie bei allen Kampftechniken, startet ein Held auch in
PDType0Font/PDCIDFontType2, PostScript name: KNLORU+GentiumBasic-Italic;false ;true    ;65.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Blasrohre
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;66.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;mit einem Kampftechnikwert von 6 und kann diesen nach den üblichen Regeln steigern.
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;67.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Leiteigenschaft
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;68.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Fingerfertigkeit
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;69.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;Steigerungsfaktor
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;70.0  ;;146   ;-1.0 ;Archiv_der_Kräuter;1000;B
PDTrueTypeFont GUKQNC+Andalus                                          ;false ;false   ;1.0   ;;147   ;-1.0 ;Archiv_der_Kräuter;1200;Rezepte
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;2.0   ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Blutblattkranz
PDTrueTypeFont IKMCPY+GentiumBasic-Italic                              ;false ;true    ;3.0   ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;4.0   ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Aus Blutblatt lassen sich Kränze basteln, die nicht verwelken, solange sie von Zauberern auf dem Kopf oder um den Hals getragen werden. Diese Kränze werden vor allem von Druiden und Hexen verwendet. Sollte der Träger über keine AsP mehr verfügen, bekommt er davon keine Kopfschmerzen, wenn er einen Blutblattkranz trägt. Allerdings verliert der Träger durch den Kranz pro Tag 1 AsP. Außerdem sind Teilproben auf IN bei der Magischen Analyse um +2 erleichtert.
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;5.0   ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Zutaten
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;6.0   ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Blutblatt
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;7.0   ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Typische Hilfsmittel
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;8.0   ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Messer
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;9.0   ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Verarbeitungsschwierigkeit
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;10.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;–1
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;11.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Brandsalbe
PDTrueTypeFont IKMCPY+GentiumBasic-Italic                              ;false ;true    ;12.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;
PDType0Font/PDCIDFontType2, PostScript name: PSYSJK+GentiumBasic       ;false ;false   ;13.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Auf Brand- und Ätzwunden (Definition: Folge von Sta
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;14.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;-tus
PDType0Font/PDCIDFontType2, PostScript name: KNLORU+GentiumBasic-Italic;false ;true    ;15.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Brennend
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;16.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;oder Feuerzaubern) aufgetragen, bringt die Brandsalbe aus Chonchinis sofort 2W3 LeP zurück (unter Verwendung von Wirselkraut 3W3 LeP) und heilt 1 Stufe
PDTrueTypeFont IKMCPY+GentiumBasic-Italic                              ;false ;true    ;17.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Schmerz
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;18.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;, die von dieser Verletzung kommt. Die Wirkung der Brandsalbe ist nicht kumulativ, mehrere Anwendungen auf einmal addieren sich nicht auf. Erst ab dem Ende der nächsten Regenerationsphase kann wieder eine neue Heilwirkung einsetzen.
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;19.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Zutaten
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;20.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Chonchinis, Salbenfett, Wirselkraut (optional)
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;21.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Typische Hilfsmittel
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;22.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;keine
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;23.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Verarbeitungsschwierigkeit
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;24.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;+/–0
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;25.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Dergolasch-Pulver
PDTrueTypeFont IKMCPY+GentiumBasic-Italic                              ;false ;true    ;26.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;27.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Die Pilzhüte werden zerkleinert, eingekocht und anschließend im Rauch getrocknet, bis sie einschrumpfen und porös werden, sodass sie leicht zu Pulver zermahlen werden können. Verzehrt neutralisiert das Pulver für 6 Stunden die Nachteile
PDTrueTypeFont IKMCPY+GentiumBasic-Italic                              ;false ;true    ;28.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Angst vor Dunkelheit
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;29.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;,
PDTrueTypeFont IKMCPY+GentiumBasic-Italic                              ;false ;true    ;30.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Angst vor en-
PDType0Font/PDCIDFontType2, PostScript name: KNLORU+GentiumBasic-Italic;false ;true    ;31.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;gen Räumen
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;32.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;und verwandte Ängste, die sich explizit auf den Aufenthalt an dunklen, engen Orten beziehen. Nach Meisterentscheid können so sogar Furchtstufen abgebaut werden.
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;33.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Zutaten
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;34.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Dergolasch
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;35.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Typische Hilfsmittel
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;36.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Kessel, optional Mörser
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;37.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Verarbeitungsschwierigkeit
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;38.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;+/–0
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;39.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Dornrosengerte
PDTrueTypeFont IKMCPY+GentiumBasic-Italic                              ;false ;true    ;40.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;41.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Dornrosenzweige können als Waffen verwendet werden. Üblicherweise reicht es aus, ein Stück Leder um den Stiel zu wickeln, der als Haltegriff fungiert.
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;42.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Zutaten
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;43.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Dornrose, Leder
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;44.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Typische Hilfsmittel
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;45.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Messer
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;46.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Verarbeitungsschwierigkeit
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;47.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;+/–0
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;48.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Egelschreckpaste
PDTrueTypeFont IKMCPY+GentiumBasic-Italic                              ;false ;true    ;49.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;50.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Der Egelschreck wird komplett zerrieben und zur Verbesserung der Streichfähigkeit mit Fett oder Öl vermengt. Auf den Körper aufgetragen hält die Paste alle profanen Parasiten für einen Tag fern. Alle Zecken und Egel, die bereits am Körper sitzen, fallen bei Kontakt mit der Paste ab. Auf eine kleine Wunde gerieben regeneriert eine Anwendung Egelschreckpaste zudem sofort 1 LeP, jedoch nur ein Mal pro Tag.
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;51.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Zutaten
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;52.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Egelschreck, optional Fett oder Öl
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;53.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Typische Hilfsmittel
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;54.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Stößel
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;55.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Verarbeitungsschwierigkeit
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;56.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;+/–0
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;57.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Feengesteck
PDTrueTypeFont IKMCPY+GentiumBasic-Italic                              ;false ;true    ;58.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;59.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Die Blüten von 2 Anwendungen Menchal-Kaktus werden
PDType0Font/PDCIDFontType2, PostScript name: PSYSJK+GentiumBasic       ;false ;false   ;60.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;zu einem kleinen Kranz verflochten. Anschließend wird
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;61.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;das Gesteck behutsam in der Sonne getrocknet. Durch den Kranz werden Eingänge zu Feenwelten undglobulen sichtbar. Die Bedingungen zum Durchschreiten dieser Tore ändern sich durch die Entdeckung mithilfe
PDType0Font/PDCIDFontType2, PostScript name: PSYSJK+GentiumBasic       ;false ;false   ;62.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;des Feengestecks nicht. Während die Pflanze gewöhn
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;63.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;-lich selbst nicht magisch ist, wird diese Anwendung durch elementare Mindergeister möglich, welche angezogen werden, wenn sich genügend Blüten beisammen
PDType0Font/PDCIDFontType2, PostScript name: PSYSJK+GentiumBasic       ;false ;false   ;64.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;befinden.
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;65.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Zutaten
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;66.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Menchal-Kaktus
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;67.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Typische Hilfsmittel
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;68.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;keine
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;69.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Verarbeitungsschwierigkeit
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;70.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;–1
PDTrueTypeFont RVXELG+GentiumBasic-Bold                                ;true  ;false   ;71.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Fiebersaft
PDTrueTypeFont IKMCPY+GentiumBasic-Italic                              ;false ;true    ;72.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;
PDTrueTypeFont NPZGHO+GentiumBasic                                     ;false ;false   ;73.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Jorugawurzel wird mit Gulmond und/oder Traschbart und/oder Belmart eingekocht. Ein Fiebersaft aus Joruga und Gulmond verkürzt den Krankheitsverlauf von
PDType0Font/PDCIDFontType2, PostScript name: PSYSJK+GentiumBasic       ;false ;false   ;74.0  ;;147   ;-1.0 ;Archiv_der_Kräuter;1000;Schlachtfeldfieber um 2 Tage. Wird dem Fiebersaft zu
