active;publication;path;pdfName;topic;startPage;startAfterLine;endPage;endAfterLine;nameSize;dataSize;strategyMapping;fileAffix
false;Aventurisches_Pandämonium_II;03 - Welt/Aventurisches Pandamonium II (121);Aventurisches Pandamonium II - 03 - Welt.pdf;IMG;;;;;;;;
false;Aventurisches_Transmutarium;03 - Welt/Aventurisches Transmutarium (119);Aventurisches Transmutarium - 03 - Welt.pdf;IMG;;;;;;;;
false;Brut_der_Niederhöllen;03 - Welt/Brut der Niederhollen (197);Brut der Niederhollen - 03 - Welt.pdf;IMG;;;;;;;;
false;Geisterwald_und_Knochenklippe;03 - Welt/Die Gestade des Gottwals - Geisterw (159);Die Gestade des Gottwals - Geis - 03 - Welt.pdf;IMG;;;;;;;;
false;Sturmgeheul_und_Runenzauber;03 - Welt/Die Gestade des Gottwals - Sturmgeh (158);Die Gestade des Gottwals - Stur - 03 - Welt.pdf;IMG;;;;;;;;
false;Geschöpfe_der_Anderswelt;03 - Welt/Geschopfe der Anderswelt (208);Geschopfe der Anderswelt - 03 - Welt.pdf;IMG;;;;;;;;
false;Geschuppte_Tyrannen;03 - Welt/Geschuppte Tyrannen (221);Geschuppte Tyrannen - 03 - Welt.pdf;IMG;;;;;;;;
false;Helden_der_Echsensümpfe;03 - Welt/Helden der Echsensumpfe (219);Helden der Echsensumpfe - 03 - Welt.pdf;IMG;;;;;;;;
false;Helden_der_Flusslande;03 - Welt/Helden der Flusslande (181);Helden der Flusslande - 03 - Welt.pdf;IMG;;;;;;;;0
false;Helden_der_Siebenwindküste;03 - Welt/Helden der Siebenwindkste (217);Helden der Siebenwindkste - 03 - Welt.pdf;IMG;;;;;;;;0
false;Helden_der_Winterwacht;03 - Welt/Helden der Winterwacht (183);Helden der Winterwacht - 03 - Welt.pdf;IMG;;;;;;;;
false;Helden_des_Dornenreiches;03 - Welt/Helden des Dornenreiches (213);Helden des Dornenreiches - 03 - Welt.pdf;IMG;;;;;;;;
false;Helden_des_Gottwals;03 - Welt/Helden des Gottwals (200);Helden des Gottwals - 03 - Welt.pdf;IMG;;;;;;;;
false;Helden_des_Wolfsfrosts;03 - Welt/Helden des Wolfsfrosts (231);Helden des Wolfsfrosts - 03 - Welt.pdf;IMG;;;;;;;;
false;Kompendium_der_Echsensümpfe;03 - Welt/Kompendium der Echsensumpfe (220);Kompendium der Echsensumpfe - 03 - Welt.pdf;IMG;;;;;;;;
false;Die_Flusslande;04 - Regionen/Die Flusslande (180);Die Flusslande - 04 - Regionen.pdf;IMG;;;;;;;;
false;Die_Winterwacht;04 - Regionen/Die Winterwacht (186);Die Winterwacht - 04 - Regionen.pdf;IMG;;;;;;;;
false;Das_Dornenreich;04 - Regionen/Das Dornenreich (212);Das Dornenreich - 04 - Regionen.pdf;IMG;;;;;;;;
false;Die_Echsensümpfe;04 - Regionen/Die Echsensumpfe (218);Die Echsensumpfe - 04 - Regionen.pdf;IMG;;;;;;;;
false;Die_Sonnenküste;04 - Regionen/Die Sonnenkuste (102);Die Sonnenkuste - 04 - Regionen.pdf;IMG;;;;;;;;
false;Der_Wolfsfrost;Regionen/Der Wolfsfrost - 04 (230);Der Wolfsfrost - 04 - Regionen.pdf;IMG;;;;;;;;
false;Gestade_des_Gottwals;04 - Regionen/Gestade des Gottwals (199);Gestade des Gottwals - 04 - Regionen.pdf;IMG;;;;;;;;
false;Mysterien_der_Flusslande;04 - Mysterien/Mysterien der Flusslande (147);Mysterien der Flusslande - 04 - Mysterien.pdf;IMG;;;;;;;;
false;Mysterien_der_Winterwacht;04 - Mysterien/Mysterien der Winterwacht (137);Mysterien der Winterwacht - 04 - Mysterien.pdf;IMG;;;;;;;;
false;Mysterien_des_Gottwals;04 - Mysterien/Mysterien des Gottwals (140);Mysterien des Gottwals - 04 - Mysterien.pdf;IMG;;;;;;;;
false;Karten_der_Flusslande_Geographisch;06 - Karten/Flusslande (65);Flusslande - 06 - Karten.pdf;IMG;;;;;;;;
false;Karten_der_Flusslande_Städte;06 - Karten/Flusslande - Stadte (62);Flusslande - Stadte - 06 - Karten.pdf;IMG;;;;;;;;
false;Karten_der_Flusslande_Politisch;06 - Karten/Flusslande - Region (64);Flusslande - Region - 06 - Karten.pdf;IMG;;;;;;;;
false;Kompendium_der_Winterwacht;04 - Regionen/Kompendium der Winterwacht (190);Kompendium der Winterwacht - 04 - Regionen.pdf;IMG;;;;;;;;
false;Schirm;03 - Welt/Meisterschirm Begleitheft (117);Meisterschirm Begleitheft - 03 - Welt.pdf;IMG;;;;;;;;
false;Almanach;04 - Regionen/Aventurischer Almanach (114);Aventurischer Almanach - 04 - Regionen.pdf;IMG;;;;;;;;
false;Nekromanthäum;03 - Welt/Aventurisches Nekromanthaum (123);Aventurisches Nekromanthaum - 03 - Welt.pdf;IMG;;;;;;;;
false;Pandämonium_I;03 - Welt/Aventurisches Pandamonium I (122);Aventurisches Pandamonium I - 03 - Welt.pdf;IMG;;;;;;;;
false;Pandämonium_II;03 - Welt/Aventurisches Pandamonium II (121);Aventurisches Pandamonium II - 03 - Welt.pdf;IMG;;;;;;;;
false;Transmutarium;03 - Welt/Aventurisches Transmutarium (119);Aventurisches Transmutarium - 03 - Welt.pdf;IMG;;;;;;;;
false;Brut_der_Niederhöllen;03 - Welt/Brut der Niederhollen (197);Brut der Niederhollen - 03 - Welt.pdf;IMG;;;;;;;;
false;Almanach;04 - Regionen/Aventurischer Almanach (114);Aventurischer Almanach - 04 - Regionen.pdf;IMG;;;;;;;;
false;Die_Verschwörung_von_Gareth;05 - Abenteuer/Die Verschwrung von Gareth (151);Die Verschwrung von Gareth - 05 - Abenteuer.pdf;IMG;;;;;;;;
false;Die_Enzyklopaedie;03 - Welt/Die illustrierte Enzyklopadie (246);Die illustrierte Enzyklopadie - 03 - Welt.pdf;IMG;;;;;;;;
